Price,Adj Close,Close,High,Low,Open,Volume,st,s_upt,st_dt,atr
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,
Datetime,,,,,,,,,,
2024-11-10 00:00:00+00:00,76721.0859375,76721.0859375,76721.0859375,76721.0859375,76721.0859375,0,,,,0.0
2024-11-10 00:02:00+00:00,76663.453125,76663.453125,76663.453125,76663.453125,76663.453125,0,76754.01897321429,,76754.01897321429,30.18861607142857
2024-11-10 00:05:00+00:00,76580.65625,76580.65625,76580.65625,76580.65625,76580.65625,43026432,76728.91635196375,,76728.91635196375,49.42003398791541
2024-11-10 00:06:00+00:00,76610.03125,76610.03125,76610.03125,76610.03125,76610.03125,14481408,76728.91635196375,,76728.91635196375,43.67128582202112
2024-11-10 00:07:00+00:00,76650.3359375,76650.3359375,76650.3359375,76650.3359375,76650.3359375,6422528,76728.91635196375,,76728.91635196375,42.86392204366022
2024-11-10 00:10:00+00:00,76630.09375,76630.09375,76630.09375,76630.09375,76630.09375,98746368,76728.91635196375,,76728.91635196375,38.141997309269776
2024-11-10 00:11:00+00:00,76641.359375,76641.359375,76641.359375,76641.359375,76641.359375,58916864,76728.91635196375,,76728.91635196375,33.12331123261086
2024-11-10 00:12:00+00:00,76664.1328125,76664.1328125,76664.1328125,76664.1328125,76664.1328125,0,76728.91635196375,,76728.91635196375,31.359654947308485
2024-11-10 00:13:00+00:00,76669.4921875,76669.4921875,76669.4921875,76669.4921875,76669.4921875,2551808,76728.91635196375,,76728.91635196375,27.25537983264077
2024-11-10 00:14:00+00:00,76695.0390625,76695.0390625,76695.0390625,76695.0390625,76695.0390625,39446528,76728.91635196375,,76728.91635196375,27.002605929325497
2024-11-10 00:16:00+00:00,76748.8046875,76748.8046875,76748.8046875,76748.8046875,76748.8046875,190464,76656.55909196788,76656.55909196788,,30.748531844039796
2024-11-10 00:17:00+00:00,76747.6953125,76747.6953125,76747.6953125,76747.6953125,76747.6953125,28930048,76667.31319219117,76667.31319219117,,26.794040102941022
2024-11-10 00:18:00+00:00,76751.3125,76751.3125,76751.3125,76751.3125,76751.3125,0,76679.82893358667,76679.82893358667,,23.827855471109757
2024-11-10 00:20:00+00:00,76749.2265625,76749.2265625,76749.2265625,76749.2265625,76749.2265625,4700160,76685.79222313313,76685.79222313313,,21.144779788956615
2024-11-10 00:22:00+00:00,76660.703125,76660.703125,76660.703125,76660.703125,76660.703125,4890624,76748.29708239652,,76748.29708239652,29.19798579884056
2024-11-10 00:24:00+00:00,76752.390625,76752.390625,76752.390625,76752.390625,76752.390625,591872,76643.0133988728,76643.0133988728,,36.45907537573255
2024-11-10 00:25:00+00:00,76761.0546875,76761.0546875,76761.0546875,76761.0546875,76761.0546875,4483072,76661.12757379258,76661.12757379258,,33.309037902473214
2024-11-10 00:26:00+00:00,76808.0703125,76808.0703125,76808.0703125,76808.0703125,76808.0703125,27404288,76703.58525185428,76703.58525185428,,34.82835354857336
2024-11-10 00:28:00+00:00,76901.40625,76901.40625,76901.40625,76901.40625,76901.40625,15050752,76777.84555727418,76777.84555727418,,41.186897575272695
2024-11-10 00:29:00+00:00,76872.09375,76872.09375,76872.09375,76872.09375,76872.09375,102285312,76777.84555727418,76777.84555727418,,39.91893186291673
2024-11-10 00:30:00+00:00,76830.5234375,76830.5234375,76830.5234375,76830.5234375,76830.5234375,0,76777.84555727418,76777.84555727418,,40.09251357064772
2024-11-10 00:33:00+00:00,76768.1015625,76768.1015625,76768.1015625,76768.1015625,76768.1015625,94765056,76895.32181299939,,76895.32181299939,42.40675016646345
2024-11-10 00:35:00+00:00,76770.4375,76770.4375,76770.4375,76770.4375,76770.4375,49346560,76885.35544863618,,76885.35544863618,38.305982878729765
2024-11-10 00:36:00+00:00,76719.1640625,76719.1640625,76719.1640625,76719.1640625,76719.1640625,0,76838.01821513397,,76838.01821513397,39.61805087798892
2024-11-10 00:37:00+00:00,76719.6484375,76719.6484375,76719.6484375,76719.6484375,76719.6484375,456704,76826.7445493271,,76826.7445493271,35.69870394236423
2024-11-10 00:38:00+00:00,76747.6328125,76747.6328125,76747.6328125,76747.6328125,76747.6328125,40001536,76826.7445493271,,76826.7445493271,34.933168732777986
2024-11-10 00:40:00+00:00,76823.9453125,76823.9453125,76823.9453125,76823.9453125,76823.9453125,15757312,76826.7445493271,,76826.7445493271,39.005558589100154
2024-11-10 00:41:00+00:00,76807.59375,76807.59375,76807.59375,76807.59375,76807.59375,12163072,76826.7445493271,,76826.7445493271,36.79265419648728
2024-11-10 00:42:00+00:00,76815.15625,76815.15625,76815.15625,76815.15625,76815.15625,0,76826.7445493271,,76826.7445493271,33.95658321376491
2024-11-10 00:46:00+00:00,76933.0859375,76933.0859375,76933.0859375,76933.0859375,76933.0859375,10795008,76806.92217756019,76806.92217756019,,42.05458664660477
2024-11-10 00:48:00+00:00,76987.2265625,76987.2265625,76987.2265625,76987.2265625,76987.2265625,71440384,76857.58544450042,76857.58544450042,,43.213705999857325
2024-11-10 00:50:00+00:00,76916.3125,76916.3125,76916.3125,76916.3125,76916.3125,90384384,76857.58544450042,76857.58544450042,,45.85711870474209
2024-11-10 00:51:00+00:00,76942.2734375,76942.2734375,76942.2734375,76942.2734375,76942.2734375,0,76857.58544450042,76857.58544450042,,43.96699222865291
2024-11-10 00:53:00+00:00,76950.40625,76950.40625,76950.40625,76950.40625,76950.40625,0,76857.58544450042,76857.58544450042,,40.576632319175324
2024-11-10 00:55:00+00:00,76946.1015625,76946.1015625,76946.1015625,76946.1015625,76946.1015625,24700928,76857.58544450042,76857.58544450042,,37.15751662606125
2024-11-10 00:57:00+00:00,77011.796875,77011.796875,77011.796875,77011.796875,77011.796875,9189376,76892.28109804845,76892.28109804845,,39.83859231718504
2024-11-10 00:58:00+00:00,77070.53125,77070.53125,77070.53125,77070.53125,77070.53125,3540992,76945.70593296144,76945.70593296144,,41.60843901285404
2024-11-10 01:00:00+00:00,76923.9140625,76923.9140625,76923.9140625,76923.9140625,76923.9140625,60807168,77078.16481408928,,77078.16481408928,51.41691719642727
2024-11-10 01:01:00+00:00,76854.046875,76854.046875,76854.046875,76854.046875,76854.046875,14217216,77013.45486211346,,77013.45486211346,53.135995704487975
2024-11-10 01:02:00+00:00,76831.8125,76831.8125,76831.8125,76831.8125,76831.8125,129945600,76982.6023553743,,76982.6023553743,50.26328512476444
2024-11-10 01:05:00+00:00,76933.578125,76933.578125,76933.578125,76933.578125,76933.578125,50765824,76982.6023553743,,76982.6023553743,55.0412884221185
2024-11-10 01:07:00+00:00,76916.3515625,76916.3515625,76916.3515625,76916.3515625,76916.3515625,4624384,76982.6023553743,,76982.6023553743,51.539645109018885
2024-11-10 01:08:00+00:00,76871.4453125,76871.4453125,76871.4453125,76871.4453125,76871.4453125,36884480,76982.6023553743,,76982.6023553743,50.92642966241803
2024-11-10 01:10:00+00:00,76757.828125,76757.828125,76757.828125,76757.828125,76757.828125,7919616,76927.9668672189,,76927.9668672189,56.71291407296853
2024-11-10 01:12:00+00:00,76798.3828125,76798.3828125,76798.3828125,76798.3828125,76798.3828125,50444288,76927.9668672189,,76927.9668672189,55.22355150365203
2024-11-10 01:13:00+00:00,76771.5078125,76771.5078125,76771.5078125,76771.5078125,76771.5078125,0,76927.9668672189,,76927.9668672189,52.61386238667909
2024-11-10 01:14:00+00:00,76777.71875,76777.71875,76777.71875,76777.71875,76777.71875,40323072,76922.75985974162,,76922.75985974162,48.34703658054156
2024-11-10 01:16:00+00:00,76805.2890625,76805.2890625,76805.2890625,76805.2890625,76805.2890625,5017600,76922.75985974162,,76922.75985974162,46.438572085585385
2024-11-10 01:17:00+00:00,76789.1171875,76789.1171875,76789.1171875,76789.1171875,76789.1171875,48443392,76920.1002698399,,76920.1002698399,43.66102744663216
2024-11-10 01:18:00+00:00,76757.921875,76757.921875,76757.921875,76757.921875,76757.921875,0,76885.4760072124,,76885.4760072124,42.518044070803356
2024-11-10 01:21:00+00:00,76754.3359375,76754.3359375,76754.3359375,76754.3359375,76754.3359375,30111744,76871.1893546568,,76871.1893546568,38.95113905226713
2024-11-10 01:22:00+00:00,76747.1875,76747.1875,76747.1875,76747.1875,76747.1875,1703936,76855.30595789179,,76855.30595789179,36.03948596392786
2024-11-10 01:23:00+00:00,76752.9453125,76752.9453125,76752.9453125,76752.9453125,76752.9453125,21159936,76852.75193548625,,76852.75193548625,33.268874328747444
2024-11-10 01:24:00+00:00,76751.4453125,76751.4453125,76751.4453125,76751.4453125,76751.4453125,15708160,76842.53699100092,,76842.53699100092,30.363892833638936
2024-11-10 01:26:00+00:00,76774.703125,76774.703125,76774.703125,76774.703125,76774.703125,34787328,76842.53699100092,,76842.53699100092,29.71445040217088
2024-11-10 01:28:00+00:00,76785.859375,76785.859375,76785.859375,76785.859375,76785.859375,25137152,76842.53699100092,,76842.53699100092,28.01918961299413
2024-11-10 01:29:00+00:00,76815.9453125,76815.9453125,76815.9453125,76815.9453125,76815.9453125,15282176,76842.53699100092,,76842.53699100092,28.207900709385093
2024-11-10 01:30:00+00:00,76815.4375,76815.4375,76815.4375,76815.4375,76815.4375,548864,76842.53699100092,,76842.53699100092,25.679663741788254
2024-11-10 01:32:00+00:00,76865.546875,76865.546875,76865.546875,76865.546875,76865.546875,10823680,76781.82107784387,76781.82107784387,,27.90859905204254
2024-11-10 01:34:00+00:00,76747.734375,76747.734375,76747.734375,76747.734375,76747.734375,0,76856.06021104586,,76856.06021104586,36.10861201528518
2024-11-10 01:37:00+00:00,76796.0859375,76796.0859375,76796.0859375,76796.0859375,76796.0859375,15466496,76856.06021104586,,76856.06021104586,37.22494053624631
