datetime,close,open,high,low,trade_type,signals
01-12-2019 00:00,150.6,151.38,151.38,150.09,NONE,0
01-12-2019 01:00,148.25,150.61,150.64,147.42,NONE,0
01-12-2019 02:00,146.66,148.3,148.99,146.11,NONE,0
01-12-2019 03:00,147.09,146.69,147.5,145.7,NONE,0
01-12-2019 04:00,148.05,147.05,148.06,146.61,NONE,0
01-12-2019 05:00,147.7,148.06,148.64,146.87,NONE,0
01-12-2019 06:00,147.12,147.71,147.98,146.96,NONE,0
01-12-2019 07:00,146.79,147.2,147.75,146.39,NONE,0
01-12-2019 08:00,146.66,146.77,147.46,146.17,NONE,0
01-12-2019 09:00,147.26,146.7,147.41,145.5,NONE,0
01-12-2019 10:00,147.91,147.3,148.25,146.74,NONE,0
01-12-2019 11:00,147.2,147.91,148.28,147.13,NONE,0
01-12-2019 12:00,148.2,147.21,148.5,147.21,NONE,0
01-12-2019 13:00,151.01,148.2,151.31,148.2,NONE,0
01-12-2019 14:00,150.61,151.02,152.5,150.52,NONE,0
01-12-2019 15:00,149.41,150.6,150.86,149,NONE,0
01-12-2019 16:00,149.85,149.49,150.39,148.98,NONE,0
01-12-2019 17:00,150.04,149.96,150.13,149.45,NONE,0
01-12-2019 18:00,150.09,150.1,150.55,149.81,NONE,0
01-12-2019 19:00,150.06,150.09,150.25,149.23,NONE,0
01-12-2019 20:00,149.98,150.06,150.69,149.77,NONE,0
01-12-2019 21:00,150.77,150.01,151.07,149.54,NONE,0
01-12-2019 22:00,151.3,150.77,151.72,150.5,NONE,0
01-12-2019 23:00,150.65,151.31,152,150.5,NONE,0
02-12-2019 00:00,150.33,150.72,151.17,149.64,NONE,0
02-12-2019 01:00,150.86,150.31,151.3,149.8,NONE,0
02-12-2019 02:00,150.89,150.95,151.17,150.45,NONE,0
02-12-2019 03:00,149.85,150.89,150.93,149.75,NONE,0
02-12-2019 04:00,150.23,149.98,150.52,149.43,NONE,0
02-12-2019 05:00,147.97,150.24,150.35,147.42,NONE,0
02-12-2019 06:00,148.17,148,148.19,146.67,NONE,0
02-12-2019 07:00,148.31,148.17,148.38,147.61,NONE,0
02-12-2019 08:00,147.97,148.31,148.35,147.15,NONE,0
02-12-2019 09:00,149.2,147.92,149.88,147.76,NONE,0
02-12-2019 10:00,148.93,149.2,150.18,148.36,NONE,0
02-12-2019 11:00,148.84,148.87,149.26,148.19,NONE,0
02-12-2019 12:00,148.99,148.88,149.23,147.16,NONE,0
02-12-2019 13:00,149.36,148.99,149.54,148.6,NONE,0
02-12-2019 14:00,148,149.36,149.36,147.45,NONE,0
02-12-2019 15:00,148.35,147.97,148.68,147.5,NONE,0
02-12-2019 16:00,147.69,148.36,148.79,147.24,NONE,0
02-12-2019 17:00,147.51,147.68,147.78,146.9,NONE,0
02-12-2019 18:00,147.13,147.55,147.55,146.83,NONE,0
02-12-2019 19:00,147.49,147.14,147.73,146.95,NONE,0
02-12-2019 20:00,147.89,147.51,148.4,147.35,NONE,0
02-12-2019 21:00,148.39,147.96,148.56,147.81,NONE,0
02-12-2019 22:00,149.08,148.39,149.42,148.28,NONE,0
02-12-2019 23:00,148.59,149.08,149.35,148.18,NONE,0
03-12-2019 00:00,149.15,148.59,149.8,148.58,NONE,0
03-12-2019 01:00,148.68,149.15,149.44,148.39,NONE,0
03-12-2019 02:00,149.16,148.69,149.62,148.3,NONE,0
03-12-2019 03:00,149.15,149.16,149.43,148.66,NONE,0
03-12-2019 04:00,148.43,149.11,149.45,148.28,NONE,0
03-12-2019 05:00,148.25,148.38,148.95,148,NONE,0
03-12-2019 06:00,148.64,148.26,148.85,148.1,NONE,0
03-12-2019 07:00,148.33,148.64,148.65,148.18,NONE,0
03-12-2019 08:00,148.67,148.33,148.67,148.28,NONE,0
03-12-2019 09:00,147.08,148.67,148.85,146.9,NONE,0
03-12-2019 10:00,147,147.03,147.35,145.62,NONE,0
03-12-2019 11:00,146.82,147.07,147.5,146.5,NONE,0
03-12-2019 12:00,147.19,146.77,147.37,146.62,NONE,0
03-12-2019 13:00,147.44,147.13,147.67,146.95,NONE,0
03-12-2019 14:00,148.61,147.44,148.88,147.11,NONE,0
03-12-2019 15:00,148.14,148.61,148.86,147.95,NONE,0
03-12-2019 16:00,148.28,148.11,148.5,147.78,NONE,0
03-12-2019 17:00,148.08,148.18,148.47,148.02,NONE,0
03-12-2019 18:00,148.39,148.09,148.5,148.03,NONE,0
03-12-2019 19:00,147.66,148.39,148.4,147.51,NONE,0
03-12-2019 20:00,147.38,147.7,147.72,147.03,NONE,0
03-12-2019 21:00,147.67,147.39,148,147.12,NONE,0
03-12-2019 22:00,147.41,147.67,147.99,147.18,NONE,0
03-12-2019 23:00,147.1,147.46,147.54,146.99,NONE,0
04-12-2019 00:00,144.47,147.12,147.16,143.37,NONE,0
04-12-2019 01:00,144.66,144.46,145,143.03,NONE,0
04-12-2019 02:00,144.44,144.61,145.1,143.88,NONE,0
04-12-2019 03:00,144.57,144.41,144.89,144.41,NONE,0
04-12-2019 04:00,144.47,144.5,144.74,144.19,NONE,0
04-12-2019 05:00,143.6,144.45,144.49,143.6,NONE,0
04-12-2019 06:00,144.04,143.59,144.59,142.96,NONE,0
04-12-2019 07:00,144.02,144.04,144.45,143.93,NONE,0
04-12-2019 08:00,145.26,144.07,145.79,143.3,NONE,0
04-12-2019 09:00,145.37,145.26,145.7,145.19,NONE,0
04-12-2019 10:00,145.86,145.37,146.19,145.12,NONE,0
04-12-2019 11:00,145.49,145.87,146.4,145.15,NONE,0
04-12-2019 12:00,145.87,145.45,145.95,145.45,NONE,0
04-12-2019 13:00,149.98,145.82,152.22,145.57,NONE,0
04-12-2019 14:00,149.04,149.91,150.51,148.54,NONE,0
04-12-2019 15:00,149.01,149.04,149.52,148.73,NONE,0
04-12-2019 16:00,149.32,149,149.61,148.88,NONE,0
04-12-2019 17:00,149.28,149.32,149.59,149.14,NONE,0
04-12-2019 18:00,149.37,149.26,149.47,149.04,NONE,0
04-12-2019 19:00,149.62,149.37,149.65,149.37,NONE,0
04-12-2019 20:00,145.73,149.62,149.93,144.5,NONE,0
04-12-2019 21:00,145.06,145.73,147.12,144.25,NONE,0
04-12-2019 22:00,145.28,145.07,146,144.54,NONE,0
04-12-2019 23:00,145.35,145.34,146.18,145.14,NONE,0
05-12-2019 00:00,145.55,145.36,145.62,145.01,NONE,0
05-12-2019 01:00,145.65,145.47,145.97,145.45,NONE,0
05-12-2019 02:00,144.37,145.65,145.65,144.21,NONE,0
05-12-2019 03:00,144.91,144.38,144.93,143.77,NONE,0
05-12-2019 04:00,144.71,144.93,146.58,143.81,NONE,0
05-12-2019 05:00,145.69,144.63,146.25,144.34,NONE,0
05-12-2019 06:00,145.81,145.67,146.07,145.11,NONE,0
05-12-2019 07:00,145.61,145.78,145.79,145.1,NONE,0
