timestamp,symbol,qty,volume_generated,
11-12-2024 12:30,BTCUSDT,0.002,360,0.216
11-12-2024 12:31,BTCUSDT,0.002,360,0.216
11-12-2024 12:33,BTCUSDT,0.002,360,0.216
11-12-2024 12:34,BTCUSDT,0.002,360,0.216
11-12-2024 12:39,BTCUSDT,0.002,360,0.216
11-12-2024 12:40,BTCUSDT,0.002,360,0.216
11-12-2024 12:40,BTCUSDT,0.002,360,0.216
11-12-2024 12:41,BTCUSDT,0.002,360,0.216
11-12-2024 12:44,BTCUSDT,0.002,360,0.216
11-12-2024 12:45,BTCUSDT,0.002,360,0.216
11-12-2024 12:46,BTCUSDT,0.002,360,0.216
11-12-2024 12:47,BTCUSDT,0.002,360,0.216
11-12-2024 12:47,BTCUSDT,0.002,360,0.216
11-12-2024 12:47,BTCUSDT,0.002,360,0.216
11-12-2024 12:48,BTCUSDT,0.002,360,0.216
11-12-2024 12:48,BTCUSDT,0.002,360,0.216
11-12-2024 12:50,BTCUSDT,0.002,360,0.216
11-12-2024 12:50,BTCUSDT,0.002,360,0.216
11-12-2024 12:51,BTCUSDT,0.002,360,0.216
11-12-2024 12:52,BTCUSDT,0.002,360,0.216
11-12-2024 12:53,BTCUSDT,0.002,360,0.216
11-12-2024 12:54,BTCUSDT,0.002,360,0.216
11-12-2024 12:55,BTCUSDT,0.002,360,0.216
11-12-2024 12:55,BTCUSDT,0.002,360,0.216
11-12-2024 12:57,BTCUSDT,0.002,360,0.216
11-12-2024 12:58,BTCUSDT,0.002,360,0.216
11-12-2024 13:00,BTCUSDT,0.002,360,0.216
11-12-2024 13:01,BTCUSDT,0.002,360,0.216
11-12-2024 13:03,BTCUSDT,0.002,360,0.216
11-12-2024 13:04,BTCUSDT,0.002,360,0.216
11-12-2024 13:06,BTCUSDT,0.002,360,0.216
11-12-2024 13:06,BTCUSDT,0.002,360,0.216
11-12-2024 13:07,BTCUSDT,0.002,360,0.216
11-12-2024 13:07,BTCUSDT,0.002,360,0.216
11-12-2024 13:08,BTCUSDT,0.002,360,0.216
11-12-2024 13:09,BTCUSDT,0.002,360,0.216
11-12-2024 13:11,BTCUSDT,0.002,360,0.216
11-12-2024 13:11,BTCUSDT,0.002,360,0.216
11-12-2024 13:12,BTCUSDT,0.002,360,0.216
11-12-2024 13:13,BTCUSDT,0.002,360,0.216
11-12-2024 13:14,BTCUSDT,0.002,360,0.216
11-12-2024 13:15,BTCUSDT,0.002,360,0.216
11-12-2024 13:16,BTCUSDT,0.002,360,0.216
11-12-2024 13:17,BTCUSDT,0.002,360,0.216
11-12-2024 13:18,BTCUSDT,0.002,360,0.216
11-12-2024 13:18,BTCUSDT,0.002,360,0.216
11-12-2024 13:18,BTCUSDT,0.002,360,0.216
11-12-2024 13:19,BTCUSDT,0.002,360,0.216
11-12-2024 13:20,BTCUSDT,0.002,360,0.216
11-12-2024 13:20,BTCUSDT,0.002,360,0.216
11-12-2024 13:21,BTCUSDT,0.002,360,0.216
11-12-2024 13:21,BTCUSDT,0.002,360,0.216
11-12-2024 13:22,BTCUSDT,0.002,360,0.216
11-12-2024 13:23,BTCUSDT,0.002,360,0.216
11-12-2024 13:24,BTCUSDT,0.002,360,0.216
11-12-2024 13:24,BTCUSDT,0.002,360,0.216
11-12-2024 13:25,BTCUSDT,0.002,360,0.216
11-12-2024 13:25,BTCUSDT,0.002,360,0.216
11-12-2024 13:27,BTCUSDT,0.002,360,0.216
11-12-2024 13:27,BTCUSDT,0.002,360,0.216
11-12-2024 13:28,BTCUSDT,0.002,360,0.216
11-12-2024 13:30,BTCUSDT,0.002,360,0.216
11-12-2024 13:30,BTCUSDT,0.002,360,0.216
11-12-2024 13:31,BTCUSDT,0.002,360,0.216
11-12-2024 13:31,BTCUSDT,0.002,360,0.216
11-12-2024 13:32,BTCUSDT,0.002,360,0.216
11-12-2024 13:32,BTCUSDT,0.002,360,0.216
11-12-2024 13:33,BTCUSDT,0.002,360,0.216
11-12-2024 13:34,BTCUSDT,0.002,360,0.216
11-12-2024 13:34,BTCUSDT,0.002,360,0.216
11-12-2024 13:35,BTCUSDT,0.002,360,0.216
11-12-2024 13:36,BTCUSDT,0.002,360,0.216
11-12-2024 13:36,BTCUSDT,0.002,360,0.216
11-12-2024 13:37,BTCUSDT,0.002,360,0.216
11-12-2024 13:38,BTCUSDT,0.002,360,0.216
11-12-2024 13:38,BTCUSDT,0.002,360,0.216
11-12-2024 13:39,BTCUSDT,0.002,360,0.216
11-12-2024 13:39,BTCUSDT,0.002,360,0.216
11-12-2024 13:40,BTCUSDT,0.002,360,0.216
11-12-2024 14:00,BTCUSDT,0.002,360,0.216
11-12-2024 14:00,BTCUSDT,0.002,360,0.216
11-12-2024 14:01,BTCUSDT,0.002,360,0.216
11-12-2024 14:02,BTCUSDT,0.002,360,0.216
11-12-2024 14:02,BTCUSDT,0.002,360,0.216
11-12-2024 14:03,BTCUSDT,0.002,360,0.216
11-12-2024 14:05,BTCUSDT,0.002,360,0.216
11-12-2024 14:10,BTCUSDT,0.002,360,0.216
11-12-2024 14:10,BTCUSDT,0.002,360,0.216
11-12-2024 14:11,BTCUSDT,0.002,360,0.216
11-12-2024 14:11,BTCUSDT,0.002,360,0.216
11-12-2024 14:12,BTCUSDT,0.002,360,0.216
11-12-2024 14:13,BTCUSDT,0.002,360,0.216
11-12-2024 14:14,BTCUSDT,0.002,360,0.216
11-12-2024 14:14,BTCUSDT,0.002,360,0.216
11-12-2024 14:15,BTCUSDT,0.002,360,0.216
11-12-2024 14:15,BTCUSDT,0.002,360,0.216
11-12-2024 14:16,BTCUSDT,0.002,360,0.216
11-12-2024 14:16,BTCUSDT,0.002,360,0.216
11-12-2024 14:17,BTCUSDT,0.002,360,0.216
11-12-2024 14:17,BTCUSDT,0.002,360,0.216
11-12-2024 14:17,BTCUSDT,0.002,360,0.216
11-12-2024 14:18,BTCUSDT,0.002,360,0.216
11-12-2024 14:19,BTCUSDT,0.002,360,0.216
11-12-2024 14:19,BTCUSDT,0.002,360,0.216
11-12-2024 14:20,BTCUSDT,0.002,360,0.216
